ETossed,23,big irf,abbearv,abbson,amsah,blackh4ze,bose,charlon,charon,marlo,daydee,dronin,fat tino,fout nl,frenzy,fuzzyness,gg,humpe,ice,isdsar,jah ridin',jamie,jeapie,jim morrison,king,kingu,kins0,laurster,leffen,levingy,liax,luan,mint,mahie,makenshi,malmortis,marah,max,mayhem092,meady,modestmajor,nicki,niklas2912,ninjagofan72,prins esse,noxxa,paju,parsec,pipsqueak,poilon,poppmaister6000,professor pro,r23,raiden,raoul,renzo,rikzz,savestate,schima,senx,setchi,sharp,shiftingshadows,skullbro,solobattle,steff$,timi,trif,velani,yogurt,Other losses

luan,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-1,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,N/A,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,,

mint,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-3,1-0,0-0,0-0,1-0,0-0,1-1,0-0,0-0,0-0,2-0,0-0,0-1,0-0,0-1,1-1,0-0,0-0,N/A,2-1,0-1,0-0,0-0,2-0,1-0,0-0,0-0,1-1,2-0,0-0,1-0,0-0,0-0,1-0,3-0,0-0,0-0,0-1,0-0,0-0,1-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,1-1,0-0,0-1,0-2,0-0,0-0,Gabe,

mahie,0-0,0-0,2-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-3,0-1,0-0,2-0,0-1,0-0,0-1,0-0,1-0,0-0,0-0,0-0,0-1,0-0,0-1,0-2,0-0,0-0,1-2,N/A,0-1,0-0,0-0,1-0,1-0,1-2,0-0,1-3,1-0,0-0,0-0,1-1,1-0,2-0,1-1,0-0,0-0,0-1,2-0,0-1,0-1,0-0,2-1,0-0,0-1,1-0,0-0,1-1,0-0,2-1,0-1,0-0,0-0,1-1,0-0,0-0,"Smarted,Moe,Sverre",

makenshi,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-1,1-0,0-0,0-0,1-0,1-0,N/A,0-0,0-0,0-0,0-0,0-0,0-0,0-1,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,,

malmortis,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,N/A,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-1,0-0,Weston,

marah,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,N/A,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,"Meruem,Pi",

max,0-1,0-0,1-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,2-1,0-1,0-2,2-0,1-0,1-1,0-0,0-0,0-2,0-0,1-0,0-0,0-0,0-0,0-3,1-0,0-1,0-0,1-0,0-0,0-2,0-1,0-0,0-0,0-0,N/A,0-0,1-1,0-0,0-1,0-0,1-0,1-0,0-1,0-0,0-0,0-1,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-2,1-1,0-1,2-0,1-0,0-0,0-0,0-1,0-0,1-0,0-0,1-0,0-0,0-0,"Psylo,Link69,Calle W,Cillit,Cillit,Floursnail,Raisem,yung Ullrich,Kweet,Duman,3rd",

mayhem092,0-0,0-0,0-0,0-0,0-0,0-0,0-1,1-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-1,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-1,0-0,0-1,0-1,0-0,0-0,0-0,0-0,N/A,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,1-0,0-0,0-2,0-0,0-1,1-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,Lavos,

meady,0-0,0-0,1-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,3-4,0-0,1-0,0-0,0-2,0-0,0-1,0-1,0-1,0-0,0-0,0-1,0-3,1-0,0-1,0-2,1-0,0-0,0-0,2-1,0-0,0-0,0-0,1-1,0-0,N/A,0-0,0-1,0-1,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-2,0-0,1-0,1-0,1-0,2-0,0-0,0-0,2-0,0-0,0-1,2-0,1-1,0-2,1-0,2-1,0-3,1-0,1-0,"Aiika,Gabe",

