ETossed,Wins,Losses
Ginger,"2saint(x2), Akir(x2), Aklo(x5), Axe(x4), Bbatts(x2), Ben(x8), Blues Clues(x2), bobby big ballz(x14), Bones(x2), Chem(x2), Colbol, Dacky, Dawson(x5), Drephen(x14), Eddy Mexico, Fank(x2), FatGoku, Fiction(x2), Gahtzu(x3), Grab, Hax$(x2), Hungrybox(x6), iBDW, Ice, Jflex(x7), Jmook, Juicebox, Kata, Khryke(x2), KJH, KoDoRiN(x3), Komodo, Koobie(x2), Krudo(x2), Kuyashi(x2), Logan(x2), Lotfy(x4), Lucky(x2), Magi(x3), Medz, moky, Morsecode762(x3), Mot$(x3), n0ne/ Bond / wizzyfan109, Neologism(x3), NoFluxes(x2), NOOT, null, Panda(x2), Pappi(x3), Polish(x3), Rocky, Ryobeat(x3), Salt, SDJ, SFAT(x2), SFOP, Skerzo(x4), Slowking, SluG(x2), Soonsay, Suezo(x2), Swift, TheSWOOPER(x2), Trail, Travioli(x3), Wally(x2), Warmmer(x2), Westballz, Whiskers, Zamu(x2), Zealot, Zeeker, Zuppy(x3), ","Aklo(x3), ARMY, Axe, Bbatts, Ben(x3), bobby big ballz(x5), C-bass, Den, DontRestMe, Drephen(x3), Flash, Gahtzu(x4), Hungrybox(x10), iBDW, Jmook(x2), KJH(x6), KoDoRiN(x7), Kuyashi(x2), lloD, Logan(x2), Magi, MOF, moky(x3), n0ne/ Bond / wizzyfan109(x8), NoFluxes, Pappi, Plup, Polish, S2J(x2), SFAT, SFOP(x2), Skerzo, SluG, Sora/Joshman, Swift, Wizzrobe(x3), Zain, ",
Spark,"Faceroll, Fiction(x2), Kata, Lucky(x2), Panda, Ringler, ","Chape, Colbol, Fiction, Lucky, Pipsqueak, Polish, ",
Chudat,"Akir, Mekk, SluG, ","Junebug, Lucky, null, Trail, ",
lloD,"Aklo, Aura, Ben, bobby big ballz, Bones, Dawson, Drephen, Gahtzu, Ginger, Jah Ridin', JSalt, Khryke(x2), KoDoRiN, Koobie, Logan, Lotfy, Mot$, n0ne/ Bond / wizzyfan109, Neologism(x2), NoFluxes, Panda, Polish, Rishi, SFOP, Slowking, Suezo, Zain, Zamu, ","2saint, Aklo(x3), aMSa, Balloon Day, Ben, bobby big ballz, Bones, Drephen, DrLobster, Gahtzu, Hax$, Hungrybox, iBDW, Mekk, Neologism, Pappi, Polish(x7), SFAT, Wizzrobe(x2), Zain, ",
ARMY,"Android 0, Casper, Fiction, Ginger, Medz, Ober, Ringler, Soonsay, Westballz, Zamu, ","Fiction, Franz(x2), Kürv, Lucky, Medz, SFAT, SFOP, Westballz(x5), ycz6, ",
KJH,"Drephen(x2), Free Palestine, Ginger(x6), Kuyashi, TheSWOOPER, ","Faceroll, FatGoku, Ginger, ",
Shroomed,"bobby big ballz, Casper, Justus, K8A, Mekk, Pappi, Smashdaddy, ","Aklo, ALP, Android 0, Ben, billybopeep, bobby big ballz, Lucky, Panda, Ringler, Rocky, S2J(x2), TheRealThing, TheSWOOPER, Vavez, ",
Westballz,"Android 0(x3), ARMY(x5), Blues Clues, bobby big ballz, Casper(x2), Chem(x2), Dawson, Eddy Mexico, Fiction(x3), Franz, Lotfy, Lucky(x3), Medz, Mekk(x2), null(x3), nut, Panda, Pappi, Quaff, Salt, SDJ, Sock, Soonsay, Squid(x2), Typhoon, Zeeker, ","ALP, Android 0, ARMY, Ben, bobby big ballz(x2), Breakfast(x2), Casper(x4), Chem, Fiction(x8), Gahtzu, Ginger, Gooms, iBDW, Khalid, KoDoRiN(x2), Lucky, Medz, MegaXmas, NoFuxGiven, NOOT, null(x2), Pappi(x2), Ringler, S2J, Salt, Soonsay, Sora/Joshman, ",
Medz,"ARMY, Aura, Axe(x2), Azel, Ben, billybopeep, Blues Clues, bobby big ballz(x7), Dacky(x2), Eddy Mexico(x6), Far!(x9), Jflex, Justus, Khryke, Lucky, Magi, NOOT, Pappi(x2), Quaff, Rei, Salt(x4), SDJ, Secrets, Smashdaddy, Soonsay, Typhoon(x8), Umarth, Warmmer, Westballz, ","ARMY, Ben(x2), Bimbo, blargh257, Blues Clues, bobby big ballz(x6), Connor, Dacky, DD, Faceroll, Far!(x2), FatGoku, Fiction, Gahtzu, Ginger, Hungrybox, iBDW, KoDoRiN(x2), Kürv(x5), Lucky(x3), Panda, PanterA, Pappi, Plup, Quaff, Rocky, S2J(x4), Salt(x2), SFAT(x3), Smashdaddy(x4), Soonsay(x2), Steech, SuperCuak, Westballz, ycz6, Zamorita(x2), ",
Professor Pro,"Chape, Frenzy(x6), Ice(x3), Jah Ridin'(x3), Kins0(x3), MINT, Nicki(x2), Panda, Solobattle(x9), Trif(x3), Zamu, ","Frenzy(x9), Ice(x3), Kingu, Kins0, Leffen, Magi, max, Pipsqueak(x6), R23, Renzo, SFAT, Solobattle, Trif, ",
2saint,"Akir, Aklo, Albert(x2), Aura, Axe, Bbatts, billybopeep(x2), Blues Clues, bobby big ballz(x2), Bones(x3), Colbol, Dawson, FatGoku, Forrest, Gahtzu, Grab, Hungrybox, Jmook, Juicebox, K8A(x2), Kalamazhu, KoDoRiN(x2), Komodo, Koobie, lloD, Logan(x2), Lotfy, Michael, Mot$(x2), n0ne/ Bond / wizzyfan109(x2), Neologism, Ober, Pappi, Ryobeat, S2J(x4), Salt, SDJ, SFOP(x2), Smashdaddy, TheRealThing(x3), TheSWOOPER, Travioli, Wally, Zealot, Zeeker(x3), Zuppy, ","Aklo(x4), Albert, Axe, Bbatts, Ben, bobby big ballz, Captain Smuckers, Colbol, Eddy Mexico, FatGoku, Ginger(x2), Hax$, Hungrybox, iBDW(x2), Jflex(x2), Just Jason, Justus, KoDoRiN, Logan(x2), Lotfy, moky(x2), n0ne/ Bond / wizzyfan109, Plup, Rocky, SFAT(x2), SluG(x2), TheRealThing(x2), Wizzrobe(x2), Zain, Zuppy, ",
