ETossed,Wins,Losses
Bones,"Bbatts(x2), Ben(x2), bobby big ballz(x3), Chem, Dawson(x3), Fank(x2), Fizz, Forrest, Freezus, Grab(x2), htwa(x4), Hungrybox, Jflex(x2), Jojo, Khryke(x7), Koobie(x6), lloD, Logan, Lotfy(x3), NoFluxes(x2), Panda(x2), Pappi(x2), SDJ, Skerzo, Trail, Travioli, Unsure(x2), Wally(x2), Warmmer, Zealot, Zuppy(x2), ","2saint(x3), 404Cray, 901|Austin, Akir, Aklo(x2), Aura, Bbatts(x2), Ben(x7), Blea Gelo, Blues Clues, bobby big ballz(x5), BZimm, Captain G, Colbol(x2), Dawson, Den, Drephen, Eddy Mexico, Eggy, Fank, Forrest(x2), Gahtzu, Ginger(x2), Grab(x2), Hungrybox, Jflex, Jmook(x2), JSalt(x2), Khryke(x3), Komodo, Krudo, Kuyashi(x3), lloD, Logan, Mad Tyro, Michael, moky, Mot$, mvlvchi, Neologism(x2), Pappi(x2), Pleasantries, Polish, Prometheus, Reesch, Reeve, Rishi(x2), Ryobeat, sambob, Seven, SFAT, Skerzo(x2), Slowking, SluG, Soonsay, Swift(x3), TheRealThing(x3), Wally, Warmmer, Zain, Zealot, Zeeker(x2), Zuppy, Zuraco, ",
Captain Smuckers,"2saint, Bbatts, Dawson, K8A(x6), Leighton(x2), TheSWOOPER(x2), Wally, Warmmer, Whiskers(x3), ","Ad, Aklo(x4), Brad(x2), Cannagar, Dawson(x2), DVNO, FLiiNcHy(x2), Heartstrings(x2), Jflex(x6), Jmook, Jojo(x2), Just Jason(x3), K8A, Kikoho, Leighton, Swift, Wally, Warmmer(x2), Whiskers, YAMI, YokaiNels, Zealot, ",
Casper,"Android 0(x3), Azel, FatGoku, Fiction, Franz(x5), Khryke, Lucky, NoFluxes, null(x3), nut(x3), The Leaf, Typhoon, Westballz(x4), ","Albert, ALP, Android 0(x7), Arcadia, ARMY, Asashi(x4), BasedFox, Dacky, Far!, Fiction(x12), Franz(x5), Hungrybox, Jace, Jello, Khalid, KoDoRiN, KoopaTroopa895, Krudo, Kürv(x2), MegaXmas(x3), null(x4), nut(x5), Owl, Rei, Ringler, rom(x4), salami, Salt, Shroomed, Sicca, Smashdaddy, Sock, Theftz, TheSWOOPER, Uvas, Vish, Wally, Westballz(x2), Wevans, Xela(x2), Yu, Zamu, ",
Chape,"Freezus, Spark, ","Aisengobay(x3), Akir, Ant10quia, Arty, Bbatts(x2), BIRA, Blackayboard, Blassy, caioicy(x2), Colbol, DRGS, Drop, Guasausky(x2), hp(x9), inchou(x4), Ishigami(x2), Jo$ha(x3), kodo(x3), Komodo, Kuya, Laj, Leso, LI4R, Limón, Lopino(x2), Mave(x10), MCC, MOM!, NDJ(x2), Papyrus(x2), Pipo, Pipsqueak, Poket, Polish, Professor Pro, Raikin(x7), Rocket(x5), Salt(x2), SigMa, Skyy, Tewa, tiebex, Travioli, Yeti, Zab, Zera(x2), Zim(x2), ",
Chem,"Akir, Albert, Bbatts, bobby big ballz, Dawson(x9), Fank(x2), Free Palestine, Hax$, htwa(x3), iBDW, Jflex(x2), Jmook, Justus, K8A, Khryke, Komodo, Koobie(x2), Neologism, SDJ(x2), Skerzo, Travioli, Unsure, Wally, Warmmer, Westballz, Zamu, Zuppy(x2), ","Aklo, Bbatts(x2), Ben, Blea Gelo, bobby big ballz(x5), Bones, BZimm, Chiefn_, Dawson(x4), Dimension(x2), DontTestMe, Drephen, Fank, FLiiNcHy, Gahtzu(x3), Ginger(x2), Golden, grownworkingman, Hax$, htwa(x4), iBDW(x2), Jmook, JSalt, Juicebox, Kata(x2), Khryke(x2), Kikoho(x2), Krudo(x3), Logan, Magi, mvlvchi, Neologism(x2), Nix, Pappi(x3), Polish, Reeve(x2), Rocky, SFAT, Slowking, Uncle B, Wally, Westballz(x2), Whiskers, Woley, Younger, Zamu, Zuppy, ",
Dacky,"Aura(x2), Ben, Blues Clues(x4), bobby big ballz(x2), Casper, Colbol, Eddy Mexico, FatGoku, Franz, htwa, K8A, Kalamazhu, Lucky, Medz, Mot$(x2), NOOT(x3), OkayP., Pappi, Quaff, Rocky, SDJ, SluG, Smashdaddy(x2), Typhoon, ","Albert, bobby big ballz(x4), Eddy Mexico(x2), FatGoku(x5), Gahtzu, Ginger, iBDW(x2), Jamrun, KoDoRiN, Krudo, Kürv, Lucky(x2), Medz(x2), moky, n0ne/ Bond / wizzyfan109, Plup, Rocky(x2), S2J(x3), Soonsay(x2), Typhoon, Zamu, Zealot, Zuppy, ",
Dawson,"Akir(x3), Aura(x2), Bbatts(x2), Ben, Blues Clues, bobby big ballz(x2), Bones, Captain Smuckers(x2), Chem(x4), Drephen, Eggy(x3), Fank(x10), Fizz(x2), Forrest, Freezus(x2), htwa, Jflex(x2), Jojo(x3), Just Jason(x2), K8A, Kalvar, Khryke(x3), Komodo(x2), Koobie(x2), Logan, Lotfy(x3), Mot$, Neologism, NoFluxes(x2), NOOT, OkayP.(x2), Pappi, Rei, Salt, Slowking(x2), TheSWOOPER, Trail(x4), Travioli(x2), Warmmer, Zeeker(x7), ","2saint, 404Cray, aCID, Ahmad, Akir(x2), Aklo, alex, Arcadia, Axe, Azel, Bab Activated, Bbatts(x8), Ben(x5), Blea Gelo(x2), Blues Clues, bobby big ballz(x14), Bones(x3), Busy Boi, Captain Pretzel, Captain Smuckers, CAUP, Chem(x9), Churze(x6), Cilan, Clairety, Clarity, Clutch, Colbol(x3), Crow(x2), DannyPhantom, Den, Dimension(x7), Drephen(x2), DrLobster, Eddy Mexico, Erik(x2), eveningstar, Fank(x3), FatGoku(x2), Forrest, Freezus(x2), Gahtzu(x6), Ginger(x5), GodTouch, Golden, Goosekhan, Grab, HELLA, HOBORG, htwa, Hungrybox, Jamrun, Jank, JCubez, Jflex(x7), JJM, Joey Donuts, JSalt(x6), Juicebox, K8A(x2), Kata, Khryke(x4), KoDoRiN(x2), KoopaTroopa895, Krudo(x3), Kuyashi(x2), Kürv, lloD, Logan(x9), Lotfy, LuigigoShard, Magi(x2), mgmg, Michael(x2), Midnight Blue, Mike Quiggles(x2), MOF, MOM!, Morsecode762, Mot$(x10), mvlvchi, Neologism(x2), Nerin, nino, Ossify, Panda(x2), Panos, Pappi(x8), Peachy Keen, Pelipper, Pi-Lingual(x2), Polish(x2), prof, Reeve, Rei, Salt(x3), SDJ, SFAT(x2), SFOP, Siddward, Slowking(x5), SluG(x2), Smashdaddy, Snap, SnooSnoo, soap(x3), Suezo(x4), Swift, TheSWOOPER, Top Player Yasu(x3), totally butts, TPN, Trail, Unsure(x2), Vintage, Wally, Warmmer(x4), Wassabi, Westballz, Zamu(x2), Zealot, Zeeker, Zion, Zuppy(x7), ",
DontTestMe,"Ben, bobby big ballz, Chem, Colbol(x3), Eggy, htwa(x2), Jflex(x2), Kata, Khryke, Logan(x2), Lotfy, moky(x2), NoFluxes, Salt, Suezo, Unsure, ","Aklo(x2), Albert, Bbatts, Colbol, DannyPhantom, Eddy Mexico(x2), Gahtzu, Golden, htwa, Kalamazhu, Kata, Khryke, Koobie, Lotfy, NoFluxes(x2), Pappi, Russell, Ryobeat, SFAT, TheSWOOPER, Whiskers, ",
Eddy Mexico,"2saint, Akir, Android 0, Aura, Bbatts, Ben(x2), bobby big ballz(x9), Bones, Dacky(x2), Dawson, DontTestMe(x2), Fank, Far!(x4), FatGoku(x4), Forrest(x2), htwa, Jflex, K8A, Kalamazhu, Krudo, Lucky, NOOT(x2), nut, OkayP., Pappi(x7), Rei(x3), Salt, SDJ(x2), Smashdaddy(x3), Squid, Typhoon(x5), Umarth, Unsure, Zamu(x2), Zealot, Zuppy, ","$limChang(x2), Aklo(x2), Albert(x2), Azel, Ben(x3), Bimbo(x3), bobby big ballz(x10), Buckets, Chango, Colbol, Dacky, deft, Dova, Drephen, Far!(x3), FatGoku, Gahtzu, Ginger, hamyojo, Khryke, KoDoRiN(x5), KoopaTroopa895, Kürv(x4), Lucky, Medz(x6), Michael, n0ne/ Bond / wizzyfan109(x3), OkayP., PanterA(x6), Pappi(x7), Plup, Px-Hylian, Quaff(x2), Rocket, Rocky, S2J, Salt, SDJ(x2), SFAT, Smashdaddy(x4), soccermom69, Squid, SuperCuak, TheSWOOPER, Vex Kasrani, Westballz, Whiskers, Wizzrobe, Yu, Zamu(x2), Zealot, ",
Eggy,"Akir(x2), Bones, Fank, Fizz(x2), Freezus(x5), Gahtzu, K8A(x2), Kalvar, Khryke(x2), Logan, Lotfy, Mekk, NoFluxes(x8), null, Ober(x2), orly(x2), Pappi(x2), SDJ, Skerzo, TheSWOOPER, Trail(x3), Travioli(x5), Unsure, Warmmer, Zealot, Zeeker, ",".Dempt, Aklo, Arpy(x2), Azzu, Bbatts(x3), Ben(x3), Blazen, bobby big ballz(x3), CAUP, Ceja, coffee, Dawson(x3), DontRestMe, DontTestMe, Dragoid, Duff, Emanon, Fank, Faust, FMB5k, FoxCap, Free Palestine, Freezus(x2), GI0GOAT, GodTouch, Golden, Googlyeyed, haunter, Hungrybox, Hyunnies, Ishigami(x2), Jada, JeffWa, Jflex(x4), Jodokast, Joe(y) Bats, JSalt(x6), Juicebox, justiceforpersona, Justin Joe, JustJoe, K8A, Kata(x3), Killablue, Koobie, Larfen, Lengüitas(x2), Leof(x2), Logan(x3), Lotfy(x2), LuigigoShard, Mad Tyro, Mekk(x4), Michael, MOF, Morsecode762, Mot$, NoFluxes(x6), Ober(x4), orly, Question, Rasen(x2), Salt, Skerzo(x5), Slowking(x3), Steoh, Suezo(x2), The Brig, TPN(x2), Trash, Unsure(x5), Warmmer(x2), Wicked_, Zamu, Zealot, Zuppy, ",
Fank,"Aura(x2), Bbatts, Bones, Chem, Colbol, Dawson(x3), Eggy, Freezus, htwa, Jojo, Juicebox(x2), K8A(x2), Khryke, Koobie, Lotfy(x4), Mekk, NoFluxes(x2), Ober, Panda, Smashdaddy, Trail(x2), Travioli(x2), Unsure(x3), Wally(x2), Zeeker, Zuppy, ",".Dempt, Ahmad, Aklo, Alextrer(x2), Baron, Bbatts(x5), Ben Snape, Blazen, Blues Clues(x2), bobby big ballz(x2), Bones(x2), Bungwipe, Busy Boi, Chem(x2), Colbol, DarkHero, Dawson(x10), DD, Den, Dope, Drio, Eddy Mexico, Eggy, Erik(x3), Franco, Freezus(x2), Gahtzu, Ginger(x2), Googlyeyed, Grab, grownworkingman, Hax$, HOBORG(x3), I'm Michael BTW, Jflex, Joey Donuts(x2), Jojo, JSalt(x4), K8A, KoDoRiN, Koobie(x3), Krudo, Kürv, Liquid, lynxwynx, Maher, MOF, Mot$, MT, n0ne/ Bond / wizzyfan109(x2), Nanami (aka PurpleZ), Neologism, OkayP., Pappi(x3), prof, Professor Pizza, rabit!, Rishi, Rocky, Rodney(x2), rom, Sirmeris(x2), Slowking(x2), SluG, SmallHandsBrian, Smashdaddy, SnooSnoo, Suezo, The Wolverine, TheSWOOPER, TPN, Trail, Vintage, Yung Silver, Zamu, Zeeker(x2), Zlatan, Zuppy(x2), Zuraco, ",
Far!,"Casper, Eddy Mexico(x3), Fizzwiggle, Kata, Khryke, KoDoRiN, Logan, Medz(x2), Rei, Smashdaddy(x4), ",".jpg(x2), aCID, ALP, aMSa, AR0, bobby big ballz, Cilan, Dova, Eddy Mexico(x4), ESPONJA, Fist Mexico, Gahtzu, Jace, JCAM(x2), Jmook, JSalt, K8A, Kalamazhu, KoDoRiN, Kürv(x2), Lengüitas, Medz(x9), mintea, n0ne/ Bond / wizzyfan109, PanterA, Px-Hylian, Quaff, Rei, rom, Salt(x2), TheRealThing, X-Hylian, Yu(x2), Zealot(x2), ",
Fizz,"Jojo, orly(x3), ","Aero(x6), Aklo, Anwarrior(x2), Arpy(x3), Azzu, Bbatts, Ben, Ben Snape, Blendtec(x2), Blue, bob, Bones, Books, CmG, Dawson(x2), Deadhand, Dz, Eggy(x2), Epoodle, flatline, Forest, FoxCap, Freezus, Frost, Gemini, GI0GOAT, Grab, Grab2Win(x2), Hax$, Hyunnies, ight, Jamrun, Jank, Jflex, JHTL, Joe(y) Bats, Joey, JSP, K8A, Kalvar, Kendrick(x2), Khryke, Killablue, Knubs., Larfen(x4), Lotfy, lovestory4a, Lowercase hero, Mattchu(x3), Matwood, Michael(x11), Mot$, n0ne/ Bond / wizzyfan109, NoFluxes, Ober(x5), orly(x7), Panda, Pleeba, plush, Rahma Noodles, Rockin, Rooster, Russell, Ryse, Schnurb, Seal, shabo, shoelegend88, Simon, Skerzo(x6), Slowking(x2), squizzage, Suezo, Tao, techboy, Tomatoman, tomdollars, TPN, Travioli, Unsure(x2), Wally, Warmmer, Younger, yuk, Zab, ",
Flash,"Ginger, Juicebox, Slowking, The Leaf, ","essy, TheRealThing, Wizzrobe, ",
Freezus,"Akir(x3), Aura(x2), Bbatts(x2), Dawson(x2), Eggy(x2), Fank(x2), Fizz, JSalt(x2), K8A, Koobie(x2), Lotfy, Michael, NoFluxes(x4), Pappi(x2), Salt, SDJ(x2), Secrets, Smashdaddy, Trail, Zeeker, ","$limChang, 13stealduck, Adust(x2), Akir(x6), Alex18+, Aura(x2), Bbatts(x5), Ben(x2), BIG PIKA(x2), Bigbuffalo, Blue, Blues Clues, bobby big ballz, Bobby Frizz, Bones, cadenville, Cannagar, Cantus(x2), Captain G, Captain Pretzel, Casual, Cat, CeeLew, Chape, Chipotle+, Cilan, Cinnaminion, CmG, CocoBunniez, Crow, Dabest(x2), DarkHero, Dawson(x2), DD, Debra, Den, Diltune2, Dizzy, DMT, Dr. Grin(x2), dreg, Drephen(x4), Dusk, Dybloons, Ears, EduPorp, Eggy(x5), Epoodle(x5), Erik, Fank, Forrest, Franco(x2), g-regulate, Gahtzu(x2), Golden, Googlyeyed, Grab(x2), Harout(x2), haunter, htwa, Hungrybox, I'm Michael BTW, ight, Ishigami(x2), Jada, Jammy, Jflex(x3), Jimmy Jockstrap, JJM, Jmook, Jochi, Joey Donuts, John Llawless(x6), JSalt(x19), JSSN, Justin Joe, Justus, K8A, keane(x2), Khryke, Killablue, Komodo(x2), Koobie(x3), KrillinThresh77, Krudo, Leeroy, Leof, lexor(x2), Lotfy(x6), LuigigoShard(x4), LXIX, Mad Tyro(x2), Mattchu, Michael, MOF, Mono, Morsecode762, Mot$, Mud, Nakamaman, Nanami (aka PurpleZ)(x2), Neenor, Negat!ve, Neologism(x2), New Guy, Nick, noChill, NoFluxes(x4), NOOT(x2), Ober(x3), Oferton, Panos, PanterA, Pappi(x8), Peachy Keen(x3), phx, Pi#374, PierreLuk, Pops(x4), Pound, PRIN$E(x2), Px-Hylian, Redcoat, reese, RolkoBoy, Rongunshu, Russell, Salt(x2), Savestate, Sawrik, Schnurb, SDJ(x3), Sevan, Seven(x2), Siddward, Sigma, Simmons, skaht(x2), Slowking(x3), Smashdaddy, SMET, Smorehead, Sodabro, Stiffff, Stone(x2), Suezo(x2), SuperCuak(x2), sweetwhisper, The Leaf, theredfalco, TheSWOOPER, Travioli, Vigilance, Vitus, Wicked_(x2), YokaiNels, Younger(x2), Yung Silver, Zamorita(x4), Zanya, Zeeker(x3), ZeldaFool, Zuppy, Zuraco, ",
Grab,"Aklo, Aura, Bbatts(x3), Blues Clues, Bones(x2), Dawson, Fank, Fizz, Freezus(x2), Gahtzu, Jflex, JSalt(x3), Kata, Komodo(x3), Koobie, Krudo, Lotfy(x4), Neologism, Pappi, Salt(x3), Secrets, Suezo(x3), Trail(x2), Travioli(x2), Unsure, Warmmer, Wevans, Zealot, Zuppy(x2), ","2saint, Aklo, Ben(x5), bobby big ballz(x3), Bones(x2), Casual(x2), CowCowCowCowCow, DarkHero(x2), Drephen, FMB5k, Gahtzu(x3), Ginger, Golden, I'm Michael BTW, Jmook(x2), JSalt, Komodo, Krudo(x2), Logan, LXIX, Michael(x3), n0ne/ Bond / wizzyfan109, New Guy(x2), Paladin, Polish, T, Travioli, Vianny, Zain, Zamu, ",
Jah Ridin',"Frenzy, Kins0, MINT(x4), Pipsqueak, Solobattle, ","abbson, Frenzy(x3), Ice(x2), Isdsar, Kins0(x3), KoDoRiN, Kuya, Leffen(x3), Levingy(x2), lloD, mayhem092, MINT, Nicki, Panda(x2), Pipsqueak(x2), Professor Pro(x3), raoul(x2), RedBlaze, Solobattle(x4), Trif(x2), ",
Jflex,"2saint(x2), Akir(x5), Aklo(x4), Aura(x3), Bbatts(x6), Ben(x4), Blues Clues(x2), bobby big ballz(x4), Bones, Captain Smuckers(x6), Dawson(x7), Eggy(x4), Fank, Fizz, Forrest, Freezus(x3), Gahtzu(x2), Hax$, htwa(x2), Jojo(x5), JSalt(x2), Just Jason(x6), Justus(x3), K8A(x4), Kalamazhu, Kalvar(x2), Kata, Khryke(x4), KoDoRiN, Komodo(x3), Koobie(x4), Kuyashi(x2), Leighton, Logan(x2), Lotfy(x2), Mekk, Michael, Morsecode762, Mot$(x9), Neologism(x4), NoFluxes(x7), null, Panda, Pappi(x3), Rei, Rocky, Salt(x4), SDJ, Skerzo, Slowking(x4), Suezo(x5), Swedish Delight, The Leaf, TheSWOOPER(x9), Trail(x2), Travioli(x2), Typhoon(x3), Unsure, Wally(x5), Warmmer(x3), Wevans(x2), Whiskers, Zain, Zeeker(x5), Zuppy(x3), ","$limChang, 404Cray(x2), Akir(x2), Aklo(x11), Axe, Azel(x2), Bbatts(x5), Ben(x13), Blea Gelo, Blues Clues, bobby big ballz(x16), Bones(x2), Chem(x2), Chopsteezy, cockbread, Colbol(x2), Crow, Dawson(x2), Dimension, DontTestMe(x2), Drephen(x6), Eddy Mexico, Epoodle, Erik, Fable, Faceroll, Fiction, Forrest, Gahtzu(x5), GGS, Ginger(x7), Golden, Googlyeyed, Grab, Hax$, htwa(x2), Hulka, Hungrybox(x6), Husband, Jamrun, JJM, Jmook(x2), Joey Donuts, Jojo(x2), JSalt, Juicebox, K8A(x2), Knut, KoDoRiN(x2), Koobie, Krudo(x2), Kuyashi, Kürv(x4), Lengüitas, Logan(x3), Logos, Lotfy, Lucky(x5), LuigigoShard, Medz, MOF(x3), moky(x2), Morsecode762(x2), Mot$(x6), n0ne/ Bond / wizzyfan109(x3), Neologism(x2), OkayP., Panda, Pappi(x9), PudgyPanda(x2), rabit!, Rei, Rishi, Rocky, Russell, RyGuy, S2J(x2), Salt(x3), SDJ, Siddward, Skerzo(x3), SluG(x4), Smashdaddy(x2), Soonsay, Stango, Swedish Delight(x2), Swift(x3), Trail, Unsure(x2), Wally(x5), Warmmer(x6), Whiskers, Zamu(x4), Zealot(x3), Zeeker, Zion(x2), Zuppy(x8), ",
Jmook,"Aklo, bobby big ballz, Bones(x2), Captain Smuckers, Chem, Drephen, Far!, Freezus, Gahtzu, Ginger(x2), Grab(x2), iBDW, Jflex(x2), Kalamazhu, Komodo(x2), Magi, Mot$, n0ne/ Bond / wizzyfan109, Polish, Sora/Joshman, Unsure, Zain, Zeeker(x2), ","2saint, Aklo, aMSa, bobby big ballz(x2), Chem, Frenzy, Ginger, Komodo, moky, S2J, ",
Jojo,"Akir, Bbatts(x3), Captain Smuckers(x2), Fank, htwa, Jflex(x2), Just Jason(x2), K8A(x4), Kalvar, Mot$(x3), Ryobeat, Slowking, TheSWOOPER(x2), Travioli, Wally(x4), Warmmer, Whiskers, ","Aklo, bobby big ballz(x3), Bones, Dawson(x3), Drephen, Error, Fank, HOBORG, i still love you, Jflex(x5), Joey Donuts, Just Jason(x2), KoDoRiN, Krudo, Lotfy, Mot$(x2), Rishi, Ryobeat, Skerzo, SluG, Swift(x2), TheSWOOPER(x2), Thumbs, Tommy, Wally(x4), Warmmer(x4), Whiskers(x3), YAMI, Zeeker, ",
JSalt,"Akir(x10), Aura(x2), Bbatts(x10), Ben(x4), bobby big ballz(x3), Bones(x2), Chem, Dawson(x6), Drephen, Eggy(x6), Fank(x4), Far!, Freezus(x19), Grab, htwa(x2), Jflex, Justus(x3), K8A(x3), Kalvar, Kata, Koobie(x12), Logan, Lotfy(x4), Michael, Neologism, NoFluxes(x17), NOOT, Ober(x5), Pappi(x8), Rei(x3), Ryobeat, Salt(x4), SDJ(x6), Slowking(x2), Suezo(x5), The Leaf(x2), TheSWOOPER(x3), Trail(x2), Travioli(x5), Warmmer(x2), Whiskers, Zeeker, ","Aklo(x7), Ben(x3), blockie, bobby big ballz(x10), BZimm, DannyPhantom, DD(x4), Drephen, Erik, FatGoku, Faust, Forrest(x2), Freezus(x2), Grab(x3), htwa(x2), Hungrybox, JCAM(x2), Jflex(x2), Joyboy, Juicebox, KoDoRiN, Krudo, lloD, Logos, Lunar Dusk(x2), Magi(x4), Mot$, MT, mvlvchi, n0ne/ Bond / wizzyfan109(x4), Neologism(x3), Paladin, Pappi(x6), Pi#374(x2), Pops, rabit!(x2), Rei(x2), Salt, SDJ(x5), Slowking(x4), Smashdaddy, Soonsay, th0rn, The Leaf, TheSWOOPER, Zain, Zamorita, Zealot(x2), Zuppy(x3), ",
Juicebox,"Chem, Dawson, Drephen(x3), Eggy, Free Palestine, Jflex, JSalt, Khryke(x2), Lotfy, Mot$, NoFluxes(x2), SFOP, Suezo, Typhoon, Whiskers, Zeeker, Zuppy, ","2saint, Albert, Bbatts(x2), bobby big ballz(x2), Dash, Drephen(x3), Fank(x2), Flash, Gahtzu(x3), Ginger, iLL BiLL, Leof, n0ne/ Bond / wizzyfan109, Pappi(x3), Peachy Keen, Plup, Polish(x2), Quote, Skerzo, Stark, TPN, Zuppy, ",
Just Jason,"2saint, Ben, Blues Clues, bobby big ballz, Captain Smuckers(x3), iBDW, Jojo(x2), Justus, K8A, Mot$(x3), Neologism, TheSWOOPER, Warmmer, Zealot(x2), ","Akir, Aklo(x4), Dawson(x2), Gahtzu, Goosekhan, HOBORG, htwa(x2), iBDW, Jflex(x6), Jojo(x2), Leighton(x2), Michael, NOOT, Peachy Keen, SluG, Suezo, TheRealThing, Wally, Whiskers(x2), Younger, ",
Justus,"2saint, Blues Clues(x2), Freezus, Palpa, Pappi, Rei, Ringler, SDJ, Travioli, Unsure, Zeeker, ","Akir, Alan, Albert, Axe, Ben(x3), Blues Clues(x3), bobby big ballz(x5), Captain G, Chem, Conman, cool bruh, DannyPhantom, DarkHero, Dream, Firebolt, FMB5k, Fro116, Fury, GGS, Gooms, htwa, Hungrybox, Jflex(x3), Jochi, JSalt(x3), Just Jason, Khryke, KoDoRiN, Koobie, Kürv, LAG, Logos(x3), Lotfy, Lucky(x2), LuigigoShard, Medz, NOOT(x4), Palpa, Panda, Quaff(x2), Ringler, Rocky, Salt, SDJ, SFOP(x3), Shmeeli(x2), Shroomed, Sicca, Skerzo, Smashdaddy(x2), Soonsay, SooYoung, Squid, Steech, TheRealThing, Typhoon(x3), Umarth(x2), Wassabi, ycz6(x3), YungWaff, Zamu, Zeeker, Zion, ",
K8A,"Akir, Aura, Ben, Blues Clues(x3), Captain Smuckers, Dawson(x2), Eggy, Fank, Far!, Fizz, Freezus, Jflex(x2), Koobie(x2), Lotfy(x5), Mot$, NoFluxes, Pappi, Salt, Slowking, Suezo(x2), The Leaf, TheRealThing, Trail, Travioli(x2), ","2saint(x2), AGeese'sniecenamedDenise, Ahmad(x2), Akir, Aklo(x3), allie, ALP, Babich, Balloon Day, Bbatts(x5), Ben(x2), Bimbo, Bladeefan829(x2), Blues Clues(x2), bobby big ballz(x4), Bobby Frizz, Cannagar, Captain Smuckers(x6), Chem, Chi, Chummi, cockbread, Crow, Dacky, Dawson, Dope, dreg, Drephen(x2), DrLobster, Duo(x2), Eddy Mexico, Egg$, Eggy(x2), Electrician, Epoodle(x2), Equal, Erik(x2), Error, Fank(x2), FatGoku, Faust, FLiiNcHy, Forrest, Freezus, g-regulate, Gambit, Ghost Rider, Golden, Guava, Heartstrings(x3), htwa(x2), I'm Michael BTW(x4), Inky, Jah, Jflex(x4), Jib(x2), Jimmy Jockstrap, JJM, JKJ, Joe(y) Bats, Joey Donuts, Jojo(x4), JSalt(x3), Json, Just Jason, Kata, KELLZ(x2), Kezzup, Khryke(x6), KoDoRiN(x2), Koobie(x7), Krudo, Kuyashi, Kürv, LAG, Logan(x4), Lotfy, LuigigoShard, Luu, LXIX, Majersk(x2), Matteo, Mekk, MOF, MOM!, Mot$(x3), n0ne/ Bond / wizzyfan109, Nard Dawg, Neologism(x2), Nick, NoFluxes(x2), Noire, NSFrog, Nyte, Ober(x2), oquinn, Panda, Panos(x3), Pappi, Peachkid, Peachy Keen, prof(x2), Reesch(x2), rom, Salt(x2), Shroomed, Sicca(x3), Siddward, Slowking(x5), SloX(x3), SluG(x2), Sneakywill, SnooSnoo(x2), Suezo(x2), Swift, TheSWOOPER(x2), Tommy, Trail(x2), Wally, Warmmer, Wevans, Whiskers(x3), Willy P, Young, Younger(x6), Yu, Zab, Zamu, Zealot(x2), Zeeker(x5), Zook, Zuppy(x2), Zuraco, ",
Kata,"Aklo, Ben, Blues Clues, bobby big ballz(x2), Chem(x2), Dawson, DontTestMe, Eggy(x3), Gahtzu, htwa(x7), K8A, Khryke, Logan(x2), NoFluxes, Panda(x4), SFOP, ","Bbatts(x2), Ben, Bimbo, bobby big ballz(x5), Captain G, Colbol(x4), DontRestMe, DontTestMe, Dream, Duff, Excel Zero(x10), Fable, Far!, Forrest(x2), Fro116, Gahtzu(x4), Ginger, Grab, Hungrybox(x4), Ishigami(x3), JCAM(x9), Jflex, JSalt, KoDoRiN, Lengüitas, Leof, Morsecode762(x2), n0ne/ Bond / wizzyfan109, Pappi, Pi#374, prof, Prometheus(x2), Px-Hylian, Siddward, Spark, Stiffff(x2), Suezo(x2), Zion, Zuppy(x2), ",
Komodo,"Akir(x2), Aura, Bbatts, Ben, bobby big ballz, Bones, Chape, Colbol, Drephen(x2), Forrest(x4), Freezus(x2), Grab, htwa(x4), Jmook, Khryke, Koobie, Krudo(x2), Mekk, NoFluxes(x2), Panda(x7), Pappi(x3), Salt, Skerzo, Suezo(x3), Travioli, Unsure, Whiskers, Zealot(x2), ","2saint, Akir(x2), Albert, Ben(x4), bobby big ballz(x4), BZimm(x2), Captain G(x4), Chem, Colbol(x2), Dawson(x2), DD, E-tie, Ears, Excel Zero(x4), Fiction, Forrest, Gahtzu(x5), Ginger, Grab(x3), Jflex(x3), Jmook(x2), Kalvar, Keenan, Khryke, Krudo(x3), Lad, Logan, Mot$, NoFluxes, nut, Oaty, Palpa, Panda(x15), Pappi, Sp1nda, TPN, Warmmer, Younger, Zain, Zealot, Zuppy, ",
