ETossed,Hungrybox,Leffen,Mang0,Axe,Wizzrobe,Zain,aMSa,Plup,iBDW,Mew2King,S2J,Fiction,SFAT,moky,n0ne/ Bond / wizzyfan109,Trif,Faceroll,Hax$,Swedish Delight,Lucky,Ginger,Spark,Chudat,lloD,ARMY,KJH,Shroomed,Westballz,Medz,Professor Pro,2saint,Gahtzu,Albert,FatGoku,Rishi,Magi,Morsecode762,Zamu,Drephen,Michael,Ice,billybopeep,Colbol,Kalamazhu,Aura,nut,Kalvar,Polish,Tai,Squid,Forrest,KoDoRiN,Free Palestine,Ryobeat,Luigi Ka-Master,KÃƒÂ¼rv,Frenzy,bobby big ballz,Franz,Nicki,TheRealThing,Umarth,Rocky,htwa,Panda,TheSWOOPER,Azel,Fizzwiggle,Krudo,Kuyashi,Leighton,null,Smashdaddy,Sora/Joshman,Wevans,Akir,Aklo,Android 0,Bbatts,Ben,Blues Clues,Bones,Captain Smuckers,Casper,Chape,Chem,Dacky,Dawson,DontTestMe,Eddy Mexico,Eggy,Fank,Far!,Fizz,Flash,Freezus,Grab,Jah Ridin',Jflex,Jmook,Jojo,JSalt,Juicebox,Just Jason,Justus,K8A,Kata,Komodo,Koobie,Khryke,Kins0,Logan,Lotfy,Mekk,MINT,Mot$,Neologism,NoFluxes,NOOT,Ober,OkayP.,orly,Palpa,Pappi,Pipsqueak,Quaff,Rei,Ringler,Salt,Secrets,SDJ,SFOP,Skerzo,Slowking,SluG,Sock,Solobattle,Soonsay,Suezo,Swift,The Leaf,Trail,Travioli,Typhoon,Unsure,Wally,Warmmer,Whiskers,Zealot,Zeeker,Zuppy,Other losses
KoDoRiN,1-4,0-0,0-2,0-3,0-2,0-2,0-0,0-4,1-2,1-0,4-7,5-2,6-6,1-0,3-4,0-0,0-4,0-1,0-0,10-5,7-3,0-0,0-0,0-1,0-0,0-0,0-0,2-0,2-0,0-0,1-2,5-2,0-0,1-0,0-0,3-0,0-0,1-0,1-0,0-0,0-0,0-0,0-0,1-0,5-3,0-0,0-0,1-2,0-0,0-0,0-0,N/A,0-1,0-0,0-0,0-0,0-0,8-4,2-0,0-0,0-0,0-0,3-0,1-0,2-1,0-0,2-0,0-0,0-0,0-0,0-0,6-1,0-0,1-0,0-0,0-0,1-1,8-3,0-0,10-2,5-0,0-0,0-0,1-0,0-0,0-0,1-0,2-0,0-0,5-0,0-0,1-0,1-1,0-0,0-0,0-0,0-0,1-0,2-1,0-0,1-0,1-0,0-0,0-0,1-0,2-0,1-0,0-0,0-0,0-0,0-0,1-1,0-0,0-0,0-0,1-0,0-0,0-0,2-0,1-0,0-0,0-0,1-0,4-2,0-0,2-0,1-0,0-1,2-0,0-0,8-0,3-0,1-0,0-0,0-1,0-0,0-0,4-3,2-0,0-1,0-0,0-0,0-0,0-0,1-0,1-1,2-0,1-0,0-0,1-0,0-0,"The Crimson Chin, ycz6, Yamasaki, Easy, SquidTheCat, ESPONJA, Neck, Egg$, ycz6, Logos, LAG, Redcoat, Buckets, Oreo",
Free Palestine,0-1,0-0,0-1,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-3,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,2-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-2,0-0,0-0,0-0,1-0,N/A,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,,
Ryobeat,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-3,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-1,0-0,0-0,0-0,0-0,0-0,0-3,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,N/A,0-0,0-0,0-0,1-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-2,0-0,0-0,0-0,2-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-1,0-1,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-2,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-1,1-0,0-0,0-0,0-0,0-0,1-0,1-0,0-0,0-0,1-0,0-0,0-0,2-2,0-1,0-0,0-0,0-0,0-0,MT,
Luigi Ka-Master,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,N/A,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,"ycz6, Stiv, Bladewise, Pocket Sand",
KÃƒÂ¼rv,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,N/A,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,,
Frenzy,0-0,1-4,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,2-8,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,9-6,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,6-1,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,N/A,0-0,0-0,1-3,0-0,0-0,0-0,0-0,2-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,3-1,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,3-2,0-0,0-0,0-0,6-2,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,3-7,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,6-8,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,"Kingu, Prins Esse, Meady, Nintendude, Sharp, abbearv, Meady, raoul, Niklas2912, Meady, Levingy",
bobby big ballz,0-8,0-0,0-0,2-2,0-0,1-1,0-0,0-0,0-0,0-0,2-18,0-1,5-9,0-2,0-6,0-0,0-0,1-3,0-0,8-10,5-14,0-0,0-0,1-1,0-0,0-0,1-1,2-1,6-7,0-0,1-2,4-12,0-2,0-0,0-0,0-1,0-0,4-1,6-8,2-0,0-0,0-0,1-2,0-0,3-1,0-0,0-0,0-2,0-1,1-0,5-3,4-8,0-0,1-1,0-0,0-0,0-0,N/A,0-0,0-0,0-0,1-1,8-5,5-3,3-0,0-1,0-0,0-0,0-0,0-0,0-0,0-1,4-3,0-0,0-2,0-1,6-16,1-0,0-2,13-8,8-2,5-3,0-0,0-0,0-0,5-1,4-2,14-2,0-1,10-9,3-0,2-0,1-0,0-0,0-0,1-0,3-0,0-0,16-4,2-1,3-0,10-3,2-0,0-1,5-0,4-0,5-2,4-1,4-1,3-0,0-0,0-4,8-0,0-0,0-0,3-0,1-4,3-5,7-0,0-0,0-2,0-0,2-1,12-17,0-0,2-5,2-0,0-0,7-3,0-0,13-9,6-7,1-1,1-3,0-1,0-0,0-0,5-2,5-0,0-1,4-0,0-0,3-0,9-3,2-1,0-0,3-0,2-0,1-1,4-2,4-3,"Blassy, Dova, Buttlet, Buttlet, aCID, prof, JHTL, Iron, yingling, Axon, SpacePigeon, Vish, Midnight Blue, Golden, Syrox, Babe Gungley, DarkHero, Townes, DarkHero, DarkHero, Kürv, Amrak, Egg$, Dream, Iifter, Steech, Kürv, Ivayne, Kürv, Mucho Man Randy Passion, Floppy, Yamasaki, Chango, Joey Donuts, Faust, Faust, Golden, DontRestMe, Phantom Airline, Bimbo, soccermom69, Kürv, LAG, Cilan, MOF, MOF, CmG, Jank, Husband, Kapachi, Knut, JJM, Dova, Stiv, PanterA, INDY, HaxMoneyHulkHogan, mintea, DD, Iifter, Matteo, Missinglinc, Fury, mintea, William, Brand0, Pilot, Umbr, Jo3dirt, Ivayne, Husband, Bananas, Pancakes",
Franz,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-1,2-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,2-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,1-1,0-0,0-2,0-0,0-0,0-0,0-0,0-0,0-0,N/A,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,3-1,0-0,0-0,0-0,0-0,0-0,2-6,0-0,0-0,0-0,0-0,0-0,5-5,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,"rom, rom, Mist, Khalid, Kürv, Xela, Xela, Kevbot, rom, AJ, Xela",
Nicki,0-1,0-4,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-3,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-2,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-2,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,3-1,0-0,0-0,N/A,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,3-1,0-0,0-0,0-0,3-2,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-4,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,3-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,"Mahie, Charon",
TheRealThing,0-1,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-1,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,2-3,0-0,0-0,1-0,0-0,0-1,0-1,0-1,0-0,0-1,0-0,0-0,0-1,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,N/A,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,3-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,1-0,0-1,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,2-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,1-0,0-0,1-0,0-0,1-0,0-0,0-0,,
Umarth,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-1,0-1,0-0,0-0,N/A,0-2,0-0,0-0,0-0,0-1,0-1,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,2-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,1-1,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,"Logos, Rocket, Jet, Dova, CPU0, haunter, AJ, Darkatma, Darkatma, Kevbot, blargh257, Kevbot, Kevbot, Kevbot, Kevbot",
Rocky,0-1,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,3-5,0-1,1-5,0-0,0-0,0-0,0-0,0-0,0-0,2-2,0-1,0-0,0-0,0-0,0-0,0-0,1-0,0-0,1-0,0-0,1-0,1-0,0-0,0-0,0-0,0-1,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-1,2-0,0-0,0-0,1-0,0-0,0-0,0-0,0-3,0-0,0-0,0-0,0-0,0-0,5-8,0-0,0-0,0-0,2-0,N/A,0-0,1-0,0-0,2-0,0-0,1-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,2-0,0-0,1-1,1-1,0-0,0-0,0-0,0-0,1-0,2-1,0-0,0-0,1-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,1-1,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,1-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,5-0,0-0,0-2,1-0,0-0,0-1,1-0,0-0,1-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,2-0,0-0,1-0,"MT, KoopaTroopa895",
htwa,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-2,0-0,0-0,0-0,0-0,0-0,0-2,2-1,0-1,0-0,0-0,1-4,0-0,1-0,0-0,1-0,0-0,0-0,0-0,0-1,0-1,0-0,0-0,0-0,0-0,0-0,3-5,0-0,0-0,0-0,0-0,0-0,N/A,1-1,0-1,0-1,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,1-0,0-1,0-0,1-2,0-4,2-0,0-4,0-0,0-0,0-0,4-3,0-1,1-1,1-2,0-1,0-0,0-1,0-0,0-0,0-0,1-0,0-0,0-0,2-2,0-0,0-1,2-2,0-0,2-0,1-0,2-0,0-7,0-4,1-1,2-2,0-0,0-2,0-0,1-0,0-0,0-0,0-0,1-1,0-0,0-0,0-0,0-0,0-0,2-1,0-0,0-1,0-0,0-0,1-1,0-0,0-1,0-1,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,1-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,2-1,1-1,"Excel Zero, LuigigoShard, YungWaff, Russell, KELLZ, Young, LAG, Seven, i still love you, Kitcatski, Paladin, rabit!, Joey Donuts, Peachy Keen, Maher, TPN, Kevin Maples, Pi#374, MOF, Cpt Darling, Oaty, MT, Sicca, Epoodle, LLDL, JCAM, Sicca, Zuraco, rabit!",
Panda,0-3,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-1,0-0,0-0,0-0,1-1,0-0,0-0,0-0,0-0,0-0,0-2,0-0,0-0,0-1,0-0,0-0,1-0,0-1,1-0,0-1,0-0,1-2,0-0,0-0,0-1,0-0,0-0,0-2,0-0,0-0,0-0,0-0,1-2,0-0,0-0,0-0,0-0,1-0,0-0,0-0,5-3,1-2,0-0,0-0,0-0,0-0,0-2,0-3,0-0,0-0,0-0,0-0,0-1,1-1,N/A,1-0,0-0,0-0,5-0,0-1,0-0,0-0,0-0,0-0,0-0,1-0,0-3,0-0,2-1,4-1,0-0,0-2,0-0,0-0,0-0,0-0,0-0,2-0,0-0,0-0,0-0,0-1,0-0,1-0,0-0,0-0,0-0,2-0,1-1,0-0,0-0,0-0,0-0,0-0,1-0,1-0,0-4,4-2,0-0,5-0,0-0,0-1,0-2,0-0,0-0,2-1,0-1,3-1,0-0,0-0,0-0,0-0,0-1,0-2,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-1,0-1,0-0,0-0,0-0,4-0,0-0,1-1,1-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,5-0,4-1,"tiebex, Siddward, Ahmad, Panos, Younger, Louis, prof, Oaty, Captain G, E-tie",
TheSWOOPER,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,1-0,0-0,0-1,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-1,0-1,0-2,0-0,0-0,0-0,0-0,0-1,1-0,0-0,0-0,0-0,0-1,0-1,0-0,0-0,0-1,1-0,0-0,2-1,0-3,1-0,0-0,0-0,0-1,0-0,0-0,0-0,0-1,0-3,0-0,0-0,1-0,0-0,0-0,2-1,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,1-0,0-1,N/A,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-4,0-0,5-0,3-4,0-0,0-0,0-2,1-0,0-0,0-0,0-0,1-1,1-0,1-0,0-1,1-0,0-0,0-0,0-0,1-0,0-0,0-0,0-9,0-0,2-2,1-3,0-0,0-1,0-0,2-0,0-0,0-0,1-0,0-0,0-0,0-2,3-0,0-0,0-0,2-8,1-0,0-1,0-0,0-0,1-0,0-0,0-0,1-1,0-0,0-0,0-0,0-0,0-2,0-0,0-0,0-0,1-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,1-1,0-0,1-0,0-0,0-0,4-1,5-3,0-1,0-0,1-0,0-2,"Kürv, DrLobster, DrLobster",
Azel,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-1,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,1-2,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,1-1,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,1-1,0-0,0-0,0-0,0-0,0-0,0-0,0-2,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-2,1-0,0-0,0-0,N/A,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-1,0-3,0-0,0-0,0-1,0-0,0-0,0-0,1-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,2-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,2-0,0-0,0-0,1-2,0-0,1-0,0-0,1-0,4-2,0-0,0-3,0-0,0-1,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,"aCID, Nathan, Joey Donuts, ycz6, n3zModGod, mvlvchi, Kürv, blargh257",
Fizzwiggle,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,N/A,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,2-2,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-6,0-0,0-0,"MegaXmas, polear, Russell, Russell, Conman",
Krudo,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-2,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-1,0-0,0-1,0-0,0-1,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-1,0-0,0-0,2-3,0-0,0-0,0-0,0-0,0-0,0-1,0-0,2-0,0-0,0-0,0-0,0-1,0-0,0-6,0-0,0-0,0-0,N/A,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,1-0,0-0,0-0,0-0,1-0,0-0,1-0,0-0,3-0,1-0,3-0,0-0,0-1,0-0,1-0,0-0,0-0,0-0,1-0,2-1,0-0,2-0,0-0,1-0,1-0,0-0,0-0,0-0,1-0,0-0,3-2,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-1,0-1,0-0,0-0,0-0,1-1,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,1-1,"Golden, Kuya, Profanity, Oaty",
Kuyashi,1-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,2-2,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,1-0,2-2,0-0,0-1,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-2,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,1-0,0-0,0-0,0-0,0-1,N/A,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,3-0,0-0,0-0,0-0,0-0,0-0,2-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-2,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-1,0-0,0-0,0-1,1-0,0-0,0-0,0-1,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,5-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,2-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,"Balloon Day, Jamrun, Kikoho, Brazmonkey, Ossify, Artemis Moore, JCubez, Azzu, Heartstrings, Heartstrings, tentpoles, tentpoles, Faust, GI0GOAT, Ossify, Ossify, Artemis, Robert, Artemis",
