ETossed,Wins,Losses
Colbol,"2saint, Ben(x6), bobby big ballz(x2), Bones(x2), Chape, Drephen(x2), Fiction, Gahtzu(x14), Jflex(x2), Kalvar, Logan, Michael, n0ne/ Bond / wizzyfan109, Panda(x2), Pappi, SFOP, SluG, Spark, TheSWOOPER, Warmmer, ","2saint, Aklo(x3), Albert, Ben, bobby big ballz, Dacky, DontTestMe(x3), Fank, Forrest, Gahtzu(x5), Ginger, htwa, Hungrybox(x2), iBDW, Komodo, Logan(x3), MT, Panda, Pipsqueak, Polish, SDeems, SFOP(x3), Wizzrobe, Zain, Zamu, Zuppy(x3), ",
Kalamazhu,"Aklo, Aura, Ben(x2), Far!, Gahtzu(x2), Magi, Mang0, moky, Rocky, Tai, Zamu, ","2saint, aMSa, Dacky, Eddy Mexico, Faceroll(x2), Gahtzu, Hax$, Hungrybox, Jflex, Jmook, KoDoRiN, Lucky, S2J(x2), Whiskers, Zain, ",
Aura,"Albert, Android 0, Axe, bobby big ballz, Bones, Khryke(x2), KoDoRiN(x3), Logan, Luigi Ka-Master, Pappi, Ringler, SDJ(x2), Slowking(x2), Warmmer, ","2saint, 4Sabo, Abe, Aero, Aklo, Albert, Ampp, Amrak, Archi, Arpy, aujory, Azel, Bbatts(x5), Becca(x2), Bigbuffalo, Bl@ckchris, Blea Gelo, Blues Clues, bobby big ballz(x3), Bobby Twofist, Bojack, Burning Cactus, Buttlet, Captain Pretzel, cashRAXX, Casual, CeeLew(x2), Ch0pper, Chamberlin, Charlie Wu, Chi, Chipotle+, Cow, Crow(x2), Dacky(x2), DannyPhantom, Dawson(x2), DD, Den, Dirt, Dirty Lasagna, DMT(x2), Drephen, Drio(x2), Dusk, Eddy Mexico, Elysian, Epic Murloc, Epoodle(x4), Equilateral, Fable, Fank(x2), FatGoku(x15), FeelinGood(x2), fenceturtle, Freezus, FrenchToast, Frenzy, g-regulate, Gahtzu, Ghostsoap, GoDiegoGo(x2), Hochpoch, htwa, Hua 桃花公主, I'm Michael BTW, JackedPuffGuy, Jada(x2), Jamrun, Jank, Jflex(x3), Jochi, Joe(y) Bats, JorDank, JSalt, Justin Joe, K8A, Kalamazhu, Kanye Rest, Khryke(x2), KoDoRiN(x5), Koints, Koobie(x4), KoopaKev, Krispy, Kuyashi, Kürv, LLDL, lloD, Logan(x3), Lotfy(x2), Luigi Ka-Master, Lumbre, Mad Tyro, Maelstrom, Magi, Medz, Mew2King, Mono, Mr. Nice Guy, Mud, Nickemwit, NoFluxes(x4), NoFuxGiven, NSFrog, Oreo, OtES(x2), Panda, Panos(x2), PanterA, Pappi(x7), PBJA, PenisTheWanderer, Phoenix, Pi#374, Pineapple, Professor Pizza, Prometheus, Quaff, Question, rabit!, Rocket, Rocky(x2), Rodney, S2J(x2), Salt(x2), Sawyer, Schnurb, Scrotie, SFAT(x2), Shamunt, Slowking, Snap, Sneakywill, Sodabro, Solomon, Sooth, Sp1nda, Steoh, Stiv(x3), Suezo(x3), SuperCuak, Tap Jump, Tarchwood, The Leaf, The Wolverine, tiebex, TPN, Trail(x3), TreyTheTrashman, Unoriginal, Vish, Wizzrobe, Wolven, YeehawDaniels, Yeti, yingling, YokaiNels, Younger, Zab(x2), Zamu, Zen, ZouL, ",
nut,"Android 0(x2), Fiction, null(x2), Ringler, ","Android 0(x4), Anjo, Asashi, Bab Activated, Casper(x3), cliché, Eddy Mexico, Elder, FatGoku, Fiction(x5), Franz, Gahtzu, Gooms, Kürv(x2), lucky_dude_1, MegaXmas(x4), n0ne/ Bond / wizzyfan109, null(x3), Raikin, Ranchero, Rat, rom(x2), S2J, SDJ, Secrets, Sora/Joshman, Westballz, Wevans, ",
Kalvar,"Fizz, Khryke, Mot$(x2), NoFluxes, Skerzo, TheSWOOPER, Wally, Warmmer(x2), ","Aklo, Bank, Bbatts, Ben(x3), Bigbuffalo, Clutch(x2), CmG(x2), Colbol, Dawson, Dixon B. Tweenerlegs, Dom, DrewNG, DrLobster(x2), Duo, Eggy, grownworkingman, htwa, Hunybear, iBDW, Intern, Jamrun, Jflex(x2), JoJo, JSalt, Kikoho, Lotfy, Mekk, Mot$, NoFluxes(x2), Penn, Prometheus, Sandy, SDJ, Seven, sunriseXpress, TzD, Wally(x3), Zeeker, Zuppy, ",
Polish,"Aklo, Axe, Ben(x3), bobby big ballz(x2), Bones, Chape, Chem, Colbol, Drephen, Free Palestine(x2), Gahtzu, Ginger, Hungrybox(x2), iBDW, Ice, Juicebox(x2), Khryke, KoDoRiN(x2), Krudo, lloD(x7), Lucky, Magi(x3), Michael(x2), Morsecode762, n0ne/ Bond / wizzyfan109, Nicki, Pipsqueak, Rishi, Skerzo, Spark, TheSWOOPER(x3), Trif, Wally(x3), Zamu(x2), ","Aklo(x2), Ben(x2), Erik, FatGoku, Free Palestine, Gahtzu, Ginger(x3), iBDW(x2), Jada, Jmook, KoDoRiN, lloD, Lucky, moky, n0ne/ Bond / wizzyfan109, Panda, Pipsqueak, Rishi, Rocky, TheRealThing, Wizzrobe, Zain, Zamu(x3), ",
Tai,"billybopeep, bobby big ballz, Mekk, ","Ben, Fiction, Fizzwiggle, Kalamazhu, null, Ringler(x2), Rishi, SDJ, SFAT, Soonsay, ",
KoDoRiN,"2saint, Aklo, Android 0(x8), Aura(x5), Ben(x10), bobby big ballz(x8), Dacky, Drephen, Far!, Fiction(x5), Gahtzu(x5), Ginger(x7), Hungrybox, iBDW, Jah Ridin', Jflex(x2), Justus, Kalamazhu, Logan, Lucky(x10), Magi(x3), Medz(x2), Mew2King, moky, Mot$, n0ne/ Bond / wizzyfan109(x3), null(x6), Palpa, Panda(x2), Pappi(x4), Polish, Rocky(x3), S2J(x4), SDJ(x8), SFAT(x6), SFOP(x3), Skerzo, Sora/Joshman, Wally, Warmmer(x2), Zamu, ","2saint(x2), Aklo, Android 0(x3), Aura(x3), Axe(x3), Ben(x2), bobby big ballz(x4), Buckets, Easy, Egg$, ESPONJA, Faceroll(x4), Far!, Fiction(x2), Free Palestine, Gahtzu(x2), Ginger(x3), Hax$, Hungrybox(x4), iBDW(x2), Jflex, LAG, lloD, Logan, Logos, Lucky(x5), Mang0(x2), n0ne/ Bond / wizzyfan109(x4), Neck, null, Oreo, Panda, Pappi(x2), Plup(x2), Polish(x2), Redcoat, Ringler, S2J(x7), SFAT(x6), SluG, Soonsay(x3), SquidTheCat, Swift, The Crimson Chin, Wally, Wizzrobe(x2), Yamasaki, ycz6(x2), Zain(x2), ",
Free Palestine,"Eggy, KoDoRiN, Mot$, Polish, Zamu(x2), ","aMSa, Chem, Hungrybox, Juicebox, KJH, Mang0, Pipsqueak, Polish(x2), SFAT(x3), Skerzo, ",
Ryobeat,"bobby big ballz, Bones, Drephen, Slowking, Swift, TheSWOOPER, Wally(x2), ","2saint, Ben, bobby big ballz, Gahtzu, Ginger(x3), JoJo, JSalt, Logan(x2), Mot$, MT, S2J, Skerzo, TheSWOOPER(x2), Wally(x2), Warmmer, Zain, Zamu(x3), ",
